,Unnamed: 0,id,name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,error,popularity
615,615.0,4zljMfCfc34Q2zJzCHRCMf,Eka Eka Shunye Takiye Bose Bose,Asha Bhosle,['bollywood'],0.307,0.385,0.0,-6.408,0.0,0.032,0.894,0.000792,0.134,0.234,71.184,audio_features,spotify:track:4zljMfCfc34Q2zJzCHRCMf,https://api.spotify.com/v1/tracks/4zljMfCfc34Q2zJzCHRCMf,https://api.spotify.com/v1/audio-analysis/4zljMfCfc34Q2zJzCHRCMf,343057.0,4.0,,
616,616.0,1oncROU5dzuvOsj3ni3ZEc,Joler Kanna,Anup Jalota,['bollywood'],0.571,0.788,7.0,-4.579,1.0,0.0396,0.424,1.32e-06,0.121,0.565,96.073,audio_features,spotify:track:1oncROU5dzuvOsj3ni3ZEc,https://api.spotify.com/v1/tracks/1oncROU5dzuvOsj3ni3ZEc,https://api.spotify.com/v1/audio-analysis/1oncROU5dzuvOsj3ni3ZEc,325632.0,4.0,,
617,617.0,1oF1qq9Zifa7E9l0bFbwv7,Vande Mataram,Shaan,['bollywood'],0.704,0.659,7.0,-7.153,1.0,0.0328,0.203,0.0,0.0916,0.285,89.982,audio_features,spotify:track:1oF1qq9Zifa7E9l0bFbwv7,https://api.spotify.com/v1/tracks/1oF1qq9Zifa7E9l0bFbwv7,https://api.spotify.com/v1/audio-analysis/1oF1qq9Zifa7E9l0bFbwv7,349970.0,4.0,,
618,618.0,7D9hBxxbdM0JB3GUTIJsag,Mere Man Men Chhupi Hai,Mukesh,['bollywood'],0.42,0.512,7.0,-10.576,1.0,0.132,0.958,0.00187,0.371,0.841,180.611,audio_features,spotify:track:7D9hBxxbdM0JB3GUTIJsag,https://api.spotify.com/v1/tracks/7D9hBxxbdM0JB3GUTIJsag,https://api.spotify.com/v1/audio-analysis/7D9hBxxbdM0JB3GUTIJsag,184733.0,4.0,,
619,619.0,7wRmY78Evs2Ol6veaG57JE,Saali Khushi,Amit Trivedi,['bollywood'],0.465,0.577,1.0,-9.299,0.0,0.14,0.347,0.00688,0.11,0.258,150.013,audio_features,spotify:track:7wRmY78Evs2Ol6veaG57JE,https://api.spotify.com/v1/tracks/7wRmY78Evs2Ol6veaG57JE,https://api.spotify.com/v1/audio-analysis/7wRmY78Evs2Ol6veaG57JE,191170.0,3.0,,
620,620.0,0ky7VOnSvqqp7jZN3qEZAn,"Kaal Karai So Aaj Kar (From ""Kabir Vay Anya Santon Ke Dohe"")",Anuradha Paudwal,['bollywood'],0.614,0.612,0.0,-4.647,1.0,0.0323,0.418,0.0,0.213,0.68,142.62,audio_features,spotify:track:0ky7VOnSvqqp7jZN3qEZAn,https://api.spotify.com/v1/tracks/0ky7VOnSvqqp7jZN3qEZAn,https://api.spotify.com/v1/audio-analysis/0ky7VOnSvqqp7jZN3qEZAn,394160.0,4.0,,
621,621.0,2hbdN27EoU46TxTYK1zYj1,Bol Mitti Deya Baweya,Noor Jehan,['bollywood'],0.31,0.426,5.0,-12.124,0.0,0.0405,0.955,0.509,0.821,0.641,170.134,audio_features,spotify:track:2hbdN27EoU46TxTYK1zYj1,https://api.spotify.com/v1/tracks/2hbdN27EoU46TxTYK1zYj1,https://api.spotify.com/v1/audio-analysis/2hbdN27EoU46TxTYK1zYj1,219716.0,4.0,,
622,622.0,085HCaiND3pQt9YXVf1N0T,Guru Prem Ma Khelat Hori,Suresh Wadkar,['bollywood'],0.652,0.531,2.0,-8.694,0.0,0.0428,0.752,1.39e-05,0.239,0.726,95.897,audio_features,spotify:track:085HCaiND3pQt9YXVf1N0T,https://api.spotify.com/v1/tracks/085HCaiND3pQt9YXVf1N0T,https://api.spotify.com/v1/audio-analysis/085HCaiND3pQt9YXVf1N0T,437543.0,4.0,,
623,623.0,4JGwzGT3yer1kevLkucd57,Be-Sabab Baat,Jagjit Singh,['bollywood'],0.679,0.5,0.0,-9.881,0.0,0.0356,0.681,0.484,0.12,0.675,154.124,audio_features,spotify:track:4JGwzGT3yer1kevLkucd57,https://api.spotify.com/v1/tracks/4JGwzGT3yer1kevLkucd57,https://api.spotify.com/v1/audio-analysis/4JGwzGT3yer1kevLkucd57,436827.0,3.0,,
624,624.0,2UU4lhl14Lx3jAyR6oMHNX,Keu Jaane Naa,Arijit Singh,['bollywood'],0.515,0.554,5.0,-7.179,1.0,0.036,0.138,0.0,0.0783,0.172,91.96,audio_features,spotify:track:2UU4lhl14Lx3jAyR6oMHNX,https://api.spotify.com/v1/tracks/2UU4lhl14Lx3jAyR6oMHNX,https://api.spotify.com/v1/audio-analysis/2UU4lhl14Lx3jAyR6oMHNX,279769.0,4.0,,
625,625.0,00ZYq3QG6VzeWF8R8V0qJ7,Sita Bhi Jahan Sukh Paa Na Saki - Lakshmi / Soundtrack Version,Mahendra Kapoor,['bollywood'],0.549,0.304,9.0,-14.172,1.0,0.0299,0.942,0.0705,0.0918,0.399,94.099,audio_features,spotify:track:00ZYq3QG6VzeWF8R8V0qJ7,https://api.spotify.com/v1/tracks/00ZYq3QG6VzeWF8R8V0qJ7,https://api.spotify.com/v1/audio-analysis/00ZYq3QG6VzeWF8R8V0qJ7,383813.0,4.0,,
